CODGENAU;LIBGENAU,,
VP;Voiture Particulière,,
RM;Remorque,,
TV;Taxi - Ville,,
TB;Taxi - Brousse,,
2R;Véhicule à 2 Roues,,
3R;Véhicule à 3 Roues,,
4R;Véhicule à 4 Roues dont le Poids <= 150Kg,,
TD;Tandem,,
V1;V. T.  Avec Double Commande,,
V2;V. T.  Sans Double Commande,,
U1;V. U. Avec Double Commande,,
W1;V. T. C. Avec Double Commande,,
W2;V. T. C. Sans Double Commande,,
U2;V. U. Sans Double Commande,,
QR;Véhicule à 4 Roues,,
CM;Cyclomoteur,,
AR;Autres Véhicules à 2/3 Roues,,
VS;Véhicules Type Spéciaux,,
SR;Semi-Remorque,,
TG;NON APPLICABLE,,
TR;Tracteur Routier,,
VU;Véhicule Utilitaire,,
AC;Autocars,,
EC;Engin de Chantier,,
PR;Véhicule 2,3,4 Roues dont le Poids > 150Kg
XC;Engins de Chantier,,
